Latitude,Longitude,facility
60.633759,16.993094,1 
57.603742,12.048695,1
56.092249,12.762610,1
57.773762,14.203621,1
58.432467,15.586468,1
55.552489,12.989743,1
59.421108,17.859059,1
59.271002,17.916666,1
62.445176,17.334777,1
59.848242,17.694211,1
59.608244,16.456656,1
56.550128,14.162557,1
59.212934,15.134691,1
57.774386,12.001883,1
65.845223,24.126509,1
56.685677,16.320974,1
59.378745,13.419860,1
