0.0,19.54,19.19,39.24,25.57,28.1,16.46,32.09,31.21,14.74,22.05,35.58,21.44,19.64,11.13,33.85,10.14,31.27,36.31,31.08,38.1,43.36,33.13,10.82,29.78,17.34,13.08,15.7,27.26,33.16,29.76,20.87,28.81,16.07,16.55,29.71,14.62,31.85,30.5,14.35,30.14,16.89,20.69,27.61,15.71,31.9,32.83,31.24,32.32,30.9,14.62,20.37,23.95,19.01,31.58,29.95,17.88,32.7,31.58,25.0,29.16,28.43,19.16,30.52,29.16,29.47,22.67,28.16,18.41,28.5,23.02,28.86,23.1,46.11,44.66,46.01,46.49,41.86,43.08,45.06,17.45,21.56,17.63,19.88,1.19,21.46,23.58,17.46,19.05,17.74,19.03,1.21,23.35,15.7,15.19,20.0,16.05,25.49,17.52,23.42,12.57,13.59,8.99,32.3,11.36,13.82,14.16,39.99,36.91,41.17,30.08,32.49,34.7,35.46,29.49,32.41,33.62,25.2,48.53,19.5,26.82,23.33,24.04,56.71,23.14,21.51,50.68,23.36,56.76,26.49,24.23,27.89,28.47,24.51,23.43,25.19,31.19,24.72,33.97,35.94
19.54,0.0,11.62,22.05,26.27,11.49,5.82,14.9,14.02,5.91,4.86,18.39,11.51,3.92,16.13,16.66,11.22,14.08,19.12,13.9,20.91,44.05,15.94,9.47,12.59,3.33,6.57,4.28,10.07,15.98,12.57,4.34,11.62,7.39,3.42,12.52,6.93,14.66,13.31,5.44,12.95,3.54,4.49,10.43,5.04,14.71,15.65,14.05,15.13,13.71,6.22,3.84,7.42,1.83,14.39,12.77,4.13,15.51,14.39,7.81,11.97,11.24,1.97,13.33,11.97,12.28,6.14,10.97,2.68,11.31,6.49,11.67,6.57,46.8,45.34,46.7,47.18,42.54,43.77,45.74,13.29,11.63,11.95,7.94,18.32,11.53,14.73,7.38,11.47,8.9,10.19,20.3,24.05,7.85,8.11,5.19,7.22,8.3,4.52,6.89,8.04,6.86,10.82,15.77,8.16,9.29,7.8,22.8,19.72,23.98,13.56,15.3,17.51,18.28,12.96,15.89,16.43,8.01,49.22,6.73,9.64,6.14,7.25,39.52,5.96,11.57,33.49,13.43,39.57,9.3,14.3,10.7,11.28,10.28,6.64,8.0,14.0,7.53,16.78,18.75
19.19,11.62,0.0,29.17,18.6,15.03,5.07,22.01,21.14,6.71,11.98,25.5,3.69,13.74,15.88,23.78,10.97,21.2,26.24,21.01,28.03,36.37,23.06,9.21,19.7,8.37,6.32,6.73,17.18,23.09,19.69,14.17,18.74,4.47,7.57,19.63,5.94,21.78,20.43,5.43,20.07,7.05,8.44,17.54,5.88,21.83,22.76,21.17,22.25,20.83,4.64,13.67,17.27,11.12,21.51,19.88,8.04,22.63,21.51,14.93,19.08,18.36,10.01,20.44,19.08,19.4,17.63,18.09,12.51,18.43,17.98,18.79,16.42,39.13,37.67,39.02,39.5,34.87,36.09,38.07,3.12,3.82,1.78,3.62,18.07,3.72,6.43,4.42,1.3,3.51,3.23,20.05,16.38,6.5,7.45,6.72,8.02,15.42,8.55,19.35,7.79,7.12,10.56,25.62,7.91,9.04,8.06,29.92,26.84,31.1,23.4,22.42,24.62,25.39,22.81,25.73,23.55,15.13,41.55,6.22,16.76,13.26,10.97,46.64,13.08,3.76,40.61,5.61,46.69,16.42,6.49,17.82,18.4,11.44,10.36,15.12,21.12,14.65,23.89,25.87
39.24,22.05,29.17,0.0,43.57,21.39,26.57,28.65,22.61,25.58,17.48,32.14,28.8,23.59,35.8,30.42,30.89,27.83,3.27,27.65,1.14,61.35,29.69,29.14,26.34,23.0,26.24,23.95,20.57,29.73,26.32,23.2,25.37,28.03,23.1,26.27,26.6,28.41,27.06,25.11,26.7,23.22,21.79,24.18,24.71,28.46,29.4,27.8,28.88,27.46,27.56,23.79,22.45,20.96,28.14,21.35,23.8,29.26,28.14,21.2,25.72,25.0,21.64,27.08,25.72,26.03,23.91,24.72,22.35,25.06,24.26,23.29,22.7,64.1,62.64,63.99,64.48,59.84,61.07,63.04,30.59,28.93,29.25,25.24,38.0,28.83,32.03,24.68,28.77,26.2,27.49,39.98,41.35,29.41,27.78,22.49,26.89,21.69,24.2,25.63,27.72,26.53,30.49,31.89,27.83,28.96,27.47,1.95,2.9,5.45,29.68,29.05,31.26,32.03,29.09,32.01,10.73,17.91,66.52,24.03,19.54,18.75,24.55,20.99,18.14,28.87,14.96,30.73,21.04,13.06,31.6,20.6,10.69,20.18,21.26,17.97,13.04,17.43,30.53,32.5
25.57,26.27,18.6,43.57,0.0,13.12,5.89,20.1,19.23,7.52,10.07,23.59,1.78,11.83,16.7,21.87,11.79,19.29,24.33,19.1,26.12,34.81,21.15,10.03,17.79,11.25,7.14,7.55,15.27,21.18,17.78,12.26,16.83,5.29,11.34,17.72,6.76,19.87,18.52,6.25,18.16,7.86,6.53,15.63,6.7,19.92,20.85,19.26,20.34,18.92,5.46,11.76,15.36,9.21,19.59,17.97,12.05,20.72,19.6,13.02,17.17,16.45,8.1,18.53,17.17,17.49,15.72,16.18,10.6,16.52,16.07,16.88,14.51,37.57,36.11,37.46,37.94,33.31,34.54,36.51,3.94,1.9,2.6,2.54,18.89,1.81,5.01,4.95,2.12,4.33,4.05,20.87,14.82,7.31,8.27,7.23,8.84,13.51,12.44,17.44,8.61,7.94,11.38,23.71,8.73,9.86,8.88,28.01,24.93,29.19,21.49,20.51,22.71,23.48,20.9,23.82,21.64,13.22,39.99,5.14,14.85,11.35,9.06,44.73,11.17,1.85,38.7,3.7,44.78,14.51,4.58,15.91,16.49,9.53,8.45,13.21,19.21,12.74,21.98,23.96
28.1,11.49,15.03,21.39,13.12,0.0,12.54,18.32,12.28,15.1,7.01,21.81,14.78,13.11,25.32,20.09,20.42,17.51,18.54,17.32,20.33,47.32,19.37,18.66,16.01,12.52,15.77,13.47,10.24,19.4,16.0,12.88,15.05,14.0,12.62,15.94,14.83,18.09,16.74,14.64,16.38,12.74,7.76,13.85,14.24,18.14,19.07,17.48,18.56,17.14,13.53,13.04,12.13,10.49,17.82,11.03,13.33,18.94,17.82,10.88,15.39,14.67,11.17,16.75,15.39,15.71,13.58,14.4,11.88,14.74,13.93,12.96,12.37,50.07,48.61,49.97,50.45,45.81,47.04,49.01,16.56,14.9,15.23,11.21,27.52,14.8,18.0,10.65,14.74,12.16,13.46,29.5,27.32,15.38,16.33,8.46,16.42,11.37,13.72,15.3,17.24,16.06,20.01,21.57,17.35,18.49,16.99,22.23,19.15,23.41,19.36,18.73,20.93,21.7,18.76,21.69,15.85,3.54,52.49,7.44,2.12,8.28,9.92,38.94,7.81,14.84,32.91,16.7,38.99,8.72,9.3,2.3,10.71,1.66,2.74,7.64,13.42,3.96,20.2,22.18
16.46,5.82,5.07,26.57,5.89,12.54,0.0,19.52,18.64,3.93,9.49,23.01,7.32,6.46,13.11,21.29,8.2,18.7,23.75,18.52,25.54,40.0,20.57,6.44,17.21,4.15,3.55,3.96,14.69,20.6,17.2,7.68,16.24,2.35,3.36,17.14,3.17,19.28,17.94,2.66,17.58,2.28,5.11,15.05,3.11,19.34,20.27,18.68,19.76,18.33,1.87,7.18,14.77,5.29,19.01,17.39,3.27,20.13,19.01,12.44,16.59,15.87,4.37,17.95,16.59,16.9,9.48,15.6,5.22,15.93,9.83,16.29,13.93,42.75,41.29,42.65,43.13,38.5,39.72,41.7,3.73,7.44,3.52,4.3,15.3,7.34,10.06,1.89,4.93,2.16,3.46,17.28,20.0,3.72,4.68,4.43,5.25,12.92,4.33,10.23,5.02,4.35,7.79,23.12,5.14,6.27,5.29,27.43,24.35,28.61,20.91,19.92,22.13,22.9,20.32,23.24,21.05,12.64,45.17,3.93,14.26,10.77,8.46,44.15,10.58,7.39,38.11,9.24,44.2,13.93,10.11,15.32,15.91,8.93,7.85,12.63,18.63,12.16,21.4,23.38
32.09,14.9,22.01,28.65,20.1,18.32,19.52,0.0,9.47,17.86,14.42,12.88,21.07,15.87,28.08,11.16,23.17,8.57,25.3,8.39,27.09,53.61,10.44,21.42,6.25,15.28,18.52,16.23,7.93,10.47,7.4,10.4,5.28,20.29,15.38,7.96,18.88,9.15,3.03,17.39,7.45,15.49,14.05,5.87,16.99,4.43,10.14,8.54,9.62,8.2,19.82,10.98,7.57,13.24,4.11,8.21,16.08,10.0,3.3,8.4,6.46,4.85,13.92,7.82,7.41,5.78,11.1,5.58,14.63,6.14,11.45,7.12,7.09,56.36,54.9,56.26,56.74,52.1,53.33,55.3,22.85,21.19,21.51,17.5,30.28,21.09,24.29,16.94,21.03,18.46,19.75,32.26,33.61,21.67,20.06,14.75,19.17,8.56,16.47,11.26,20.0,18.81,22.77,11.24,20.11,21.24,19.75,28.98,25.9,30.16,5.88,3.07,12.0,12.77,8.64,11.36,22.6,14.34,58.78,16.29,15.97,13.96,16.81,45.7,13.34,21.13,39.66,22.99,45.75,15.48,23.86,17.03,17.46,16.61,16.2,11.0,20.17,13.86,11.27,13.24
31.21,14.02,21.14,22.61,19.23,12.28,18.64,9.47,0.0,17.85,7.9,10.82,21.05,15.86,28.07,9.1,23.16,6.16,19.76,6.33,21.55,53.59,8.38,21.41,6.74,15.27,18.51,16.21,4.88,8.41,6.84,10.38,5.77,20.28,15.36,3.29,18.87,7.09,8.15,17.38,5.04,15.48,14.04,4.36,16.98,9.55,8.08,6.48,7.56,6.14,19.8,10.97,4.73,13.23,9.23,1.34,16.07,7.94,9.23,8.38,4.05,5.84,13.91,5.76,3.03,6.55,11.09,5.57,14.62,5.58,11.44,2.71,5.92,56.34,54.89,56.24,56.72,52.09,53.31,55.29,22.84,21.18,21.5,17.49,30.26,21.08,24.28,16.93,21.02,18.44,19.73,32.24,33.6,21.66,20.05,14.74,19.16,8.55,16.46,12.81,19.98,18.8,22.76,18.31,20.1,21.23,19.74,23.44,20.36,24.62,12.95,10.14,9.94,10.71,15.71,18.43,17.07,8.8,58.77,16.28,10.43,8.42,16.79,40.16,7.81,21.12,34.12,22.97,40.21,9.94,23.85,11.49,11.92,11.07,16.18,5.47,14.64,8.32,9.21,11.18
14.74,5.91,6.71,25.58,7.52,15.1,3.93,17.86,17.85,0.0,8.44,21.97,8.92,6.03,11.35,20.24,6.44,17.66,22.7,17.47,24.49,41.6,19.52,4.69,16.17,3.73,1.79,2.09,13.65,19.55,16.15,7.26,15.2,3.56,2.94,16.1,3.09,18.24,16.89,1.1,16.53,3.28,8.07,14.0,2.1,18.29,19.22,17.63,18.71,17.29,2.38,6.76,10.34,5.4,17.97,16.34,4.27,19.09,17.97,11.39,15.55,14.82,5.55,16.91,15.55,15.86,9.06,14.55,4.8,14.89,9.41,15.25,9.49,44.35,42.89,44.25,44.73,40.1,41.32,43.3,4.94,9.04,5.12,7.36,13.54,8.95,11.66,4.95,6.53,5.22,6.51,15.52,21.61,4.01,3.73,7.48,1.31,11.88,3.91,9.81,3.26,2.08,6.04,18.69,3.38,4.51,3.02,26.38,23.3,27.56,16.47,18.88,21.09,21.85,15.88,18.8,20.01,11.59,46.77,6.99,13.21,9.72,10.83,43.1,9.53,8.99,37.07,10.84,43.15,12.88,11.71,14.28,14.86,13.86,10.22,11.58,17.58,11.11,20.36,22.33
