10000,27.46,18.39,44.173,27.133,8.096,12.917,37.096,16.438,44.482,18.296,29.867,10.765,12.909,18.952,17.009,21.448,1.757,4.318,7.6,36.744,17.206,29.088,13.747,25.313,44.545,25.221,7.469,10.444,43.487,27.571,37.289,39.306,25.933,18.338,29.921,31.538,5.808,8.235,28.347,8.507,19.569,36.547,20.212,17.14,27.532,5.989,36.583,18.994,31.071,12.466,10.906,17.413,17.556,31.079,31.248,18.314,17.978,16.94,22.465,15.322,27.089,13.837,30.814,15.394,15.749,15.591,31.259,23.95,12.507,24.811,14.999,17.295,26.671,31.127,23.566,18.778,16.356,32.751,26.072,17.895,7.474,26.419,16.742,28.457,16.659,20.859,26.51,25.242,22.863,15.493,20.469,31.016,11.575,24.33,21.795,23.131,23.116,24.244,19.441,24.305,21.878,22.637,18.668,22.91,18.833,17.097,20.32,18.501,22.408,21.291,19.322,19.561,20.434,15.906,20.321
29.033,10000,12.599,28.627,32.645,37.246,18.847,12.316,18.132,29.473,38.151,8.414,22.181,32.889,25.93,20.458,26.96,29.227,29.853,27.58,59.547,20.655,9.292,22.482,4.458,13.569,6.806,29.231,26.477,30.388,9.156,42.801,44.818,31.445,25.316,5.141,21.203,24.863,37.385,10.185,27.601,25.081,11.767,35.386,24.118,14.604,28.86,11.803,10.677,18.143,17.594,20.014,24.391,19.25,6.299,12.833,12.022,24.956,18.634,12.589,18.442,11.574,21.386,17.886,14.585,22.727,21.103,11.246,4.059,18.731,2.923,21.977,12.51,13.743,6.347,6.613,24.29,21.868,7.971,13.144,11.636,28.211,10.973,23.72,8.638,13.523,13.41,13.582,11.888,8.45,22.471,10.274,18.088,18.853,11.339,11.245,10.711,11.593,13.014,9.795,11.27,8.248,9.118,12.376,7.403,11.934,19.541,10.221,24.013,8.78,9.167,9.66,9.486,8.933,14.111,8.041
18.547,11.939,10000,31.521,22.159,26.76,6.538,21.575,5.823,32.367,27.665,17.246,7.489,22.403,15.444,9.972,16.474,18.741,19.367,17.094,49.061,10.169,16.467,11.996,9.792,29.024,9.7,18.745,15.991,38.513,12.05,32.315,34.332,20.959,14.83,14.4,26.564,14.377,26.899,15.726,17.115,14.595,21.026,24.9,13.632,17.498,18.374,21.062,7.187,21.037,7.108,9.528,8.33,6.941,15.558,15.727,10.245,14.47,6.325,10.238,7.956,14.468,10.9,20.78,3.902,12.241,10.617,15.738,8.429,8.245,9.29,6.812,10.733,16.637,15.606,8.045,13.804,11.382,17.23,16.038,12.921,17.725,16.385,13.234,15.836,11.746,2.727,16.476,15.208,11.344,11.985,7.89,20.982,8.367,14.233,9.568,13.605,14.487,15.908,3.809,14.164,5.608,12.012,10.599,10.297,5.948,9.055,8.093,13.527,11.674,12.061,6.17,4.755,4.167,3.428,6.487
44.366,28.349,32.234,10000,18.934,42.151,40.828,27.529,44.176,1.086,53.254,31.931,40.151,42.381,46.69,31.812,26.96,46.124,45.9,37.072,35.09,32.009,31.152,34.841,26.202,35.187,22.794,38.723,47.237,2.001,22.238,6.884,7.763,18.617,46.076,26.739,22.775,41.303,42.29,30.411,37.093,26.66,26.98,35.404,44.878,16.198,38.352,27.016,23.145,11.952,35.564,37.984,45.151,45.294,27.542,20.972,33.117,45.716,44.678,19.527,36.043,29.153,33.745,13.733,36.115,43.487,30.394,18.971,24.839,34.596,25.7,42.737,32.098,16.797,26.185,26.248,33.581,28.819,27.809,15.486,24.648,37.703,17.783,44.48,30.521,31.462,26.236,17.874,16.606,21.122,43.231,22.763,13.935,36.823,18.65,20.392,19.147,18.508,17.458,34.244,18.295,23.659,20.81,33.471,22.315,33.636,31.9,21.985,33.304,21.269,21.641,23.383,23.899,24.794,36.627,22.868
28.168,31.959,22.889,18.937,10000,25.953,24.63,33.754,27.978,19.246,37.056,28.472,23.953,26.183,30.492,15.614,10.762,29.926,29.702,20.874,25.197,15.811,27.693,18.643,29.812,49.044,29.72,22.525,31.039,18.251,22.584,12.053,14.07,1.199,29.878,34.42,20.852,25.105,26.092,26.952,20.895,10.462,33.205,12.308,28.68,26.137,22.154,33.241,17.599,22.203,19.366,21.786,28.953,29.096,35.578,26.261,16.919,29.518,28.48,21.07,19.845,25.694,17.547,23.984,19.917,27.289,14.196,26.212,28.449,18.398,29.31,26.539,15.9,25.276,35.626,28.065,17.383,12.621,37.25,24.677,16.5,21.505,25.024,28.282,27.062,15.264,19.464,25.115,23.847,21.468,27.033,19.074,24.186,20.625,22.935,20.4,21.736,21.721,22.849,18.046,22.91,20.483,21.242,17.273,21.515,17.438,15.702,18.925,17.106,21.013,19.896,17.927,18.166,19.039,20.429,18.926
8.135,35.884,26.814,41.953,24.913,10000,14.962,32.929,27.153,42.262,14.38,27.647,12.81,7.795,29.667,14.789,19.228,9.523,12.084,5.38,29.199,14.986,26.868,11.977,33.737,52.969,33.645,7.228,18.21,41.267,21.759,35.069,37.086,23.713,29.053,38.345,29.318,6.2,1.208,26.127,6.737,17.349,32.38,12.387,27.855,25.312,5.707,32.416,16.774,28.851,18.541,12.951,28.128,28.271,39.503,25.436,16.094,28.693,27.655,20.245,19.02,24.869,12.067,28.594,19.092,26.464,13.371,25.387,32.374,17.573,33.235,25.714,15.075,24.451,39.551,31.99,16.558,14.136,41.175,23.852,15.675,6.208,24.199,27.457,26.237,14.439,18.639,24.29,23.022,20.643,26.208,18.249,28.796,13.62,22.11,19.575,20.911,20.896,22.024,17.221,22.085,19.658,20.417,16.448,20.69,16.613,14.877,18.1,16.281,20.188,19.071,17.102,17.341,18.214,19.604,18.101
12.46,18.138,6.489,40.876,23.836,14.485,10000,27.774,8.72,41.185,32.276,23.445,1.209,16.908,14.52,11.649,18.151,12.654,7.041,11.599,43.566,11.846,22.666,8.463,15.991,35.223,15.899,9.461,9.093,40.19,18.249,33.992,36.009,22.636,13.906,20.599,28.241,8.29,14.624,21.925,12.005,16.272,27.225,26.577,12.708,23.697,11.231,27.261,15.697,27.236,7.309,5.749,11.227,9.838,21.757,21.926,11.922,13.546,9.222,18.229,8.988,20.667,8.008,26.979,9.06,11.317,12.294,21.937,14.628,7.35,15.489,9.653,12.41,22.836,21.805,14.244,15.481,13.059,23.429,22.237,14.598,10.458,22.584,12.31,22.035,13.423,8.926,22.675,21.407,17.543,11.061,15.739,27.181,6.418,20.432,17.559,19.804,18.88,22.107,10.008,20.363,11.807,18.211,12.276,16.496,12.441,10.732,16.084,15.204,17.873,18.26,14.161,10.954,10.366,9.572,13.929
40.332,12.135,23.898,27.721,33.223,33.237,30.146,10000,29.431,28.567,49.45,20.129,33.48,33.467,37.229,23.837,23.39,40.526,41.152,28.158,60.125,24.034,21.007,25.587,13.923,15.839,14.458,29.809,37.776,29.482,11.341,34.365,35.244,32.023,36.615,10.434,28.1,36.162,33.376,22.075,28.179,22.168,1.193,35.964,35.417,13.698,29.438,3.623,16.753,17.237,28.893,31.313,35.69,30.549,11.237,12.391,21.265,36.255,29.933,14.177,29.741,20.817,24.491,16.98,20.154,34.026,20.161,10.39,13.524,30.03,12.388,33.276,21.753,12.837,9.88,17.912,20.561,20.974,11.504,12.238,18.256,28.789,10.117,35.019,22.185,20.179,19.618,12.524,11.032,13.349,33.77,15.173,17.182,30.152,13.3,15.042,13.797,13.158,12.108,19.038,12.945,16.069,14.017,17.769,13.979,21.177,22.639,15.12,20.284,13.679,14.066,16.115,16.309,18.176,25.41,15.278
16.084,17.024,5.375,36.606,26.781,26.795,9.427,26.66,10000,37.452,32.436,22.331,8.746,27.025,6.467,14.594,21.096,16.278,11.659,21.716,53.683,14.791,21.552,16.618,14.877,34.109,14.785,15.034,8.283,43.135,17.135,36.937,38.954,25.581,5.853,19.485,31.186,13.863,26.934,20.811,21.737,19.217,26.111,29.522,4.655,22.583,22.996,26.147,18.642,26.122,11.73,14.15,3.221,1.832,20.643,20.812,14.867,5.493,1.216,15.323,12.578,19.553,15.522,25.865,8.987,3.264,15.239,20.823,13.514,12.867,14.375,1.6,15.355,21.722,20.691,13.13,18.426,16.004,22.315,21.123,17.543,22.347,21.47,4.257,20.921,16.368,7.812,21.561,20.293,16.429,3.008,12.975,26.067,12.989,19.318,14.653,18.69,19.572,20.993,8.894,19.249,10.693,17.097,15.221,15.382,15.386,13.677,13.178,18.149,16.759,17.146,11.255,9.84,9.252,8.513,11.572
44.694,29.442,33.327,1.109,19.262,42.479,41.156,28.622,44.504,10000,53.582,33.024,40.479,42.709,47.018,32.14,27.288,46.452,46.228,37.4,35.418,32.337,32.245,35.169,27.295,36.28,23.887,39.051,47.565,2.329,23.331,7.212,8.091,18.945,46.404,27.832,23.868,41.631,42.618,31.504,37.421,26.988,28.073,35.732,45.206,17.291,38.68,28.109,24.238,13.045,35.892,38.312,45.479,45.622,28.635,22.065,33.445,46.044,45.006,20.62,36.371,30.246,34.073,14.826,36.443,43.815,30.722,20.064,25.932,34.924,26.793,43.065,32.426,17.89,27.278,27.341,33.909,29.147,28.902,16.579,33.026,38.031,18.876,44.808,31.614,31.79,35.99,18.967,17.699,22.215,43.559,23.856,15.028,37.151,19.743,21.485,20.24,19.601,18.551,34.572,19.388,24.752,21.903,33.799,23.408,33.964,32.228,23.078,33.632,22.362,22.734,24.476,24.992,25.887,36.955,23.961
