0.0,6.69,5.57,6.25,4.09,4.55,6.8,3.28,3.52,6.1,2.28,6.14,5.42,7.17,4.27,8.53,2.21,5.24,2.3,7.18,8.67,4.27,5.84,2.69,4.63,7.03,8.36,8.0,6.68,3.82,3.32,4.14,5.51,3.6,6.0,4.57,5.04,7.72,7.94,7.35,5.41,5.51,3.26,3.95,6.4
6.69,0.0,3.43,7.92,5.76,8.78,13.76,7.49,5.19,8.82,8.84,5.89,8.14,9.89,7.74,15.33,4.59,9.47,8.86,11.41,15.47,10.83,10.68,6.92,2.52,11.26,15.32,10.72,9.4,10.38,9.88,10.7,8.23,3.23,12.56,4.33,11.87,14.52,14.74,14.31,11.97,6.93,5.74,5.01,8.07
5.57,3.43,0.0,8.42,6.26,5.35,10.33,4.07,4.33,7.81,5.42,5.54,7.13,8.88,6.73,11.91,3.73,6.05,5.43,7.99,12.04,7.41,8.97,3.49,1.32,7.83,11.89,9.71,8.39,6.96,6.45,7.28,7.22,2.38,9.14,3.47,8.44,11.09,11.31,10.88,8.54,5.92,2.32,4.16,8.56
6.25,7.92,8.42,0.0,2.16,13.14,11.9,11.86,4.72,8.15,8.16,7.34,7.47,9.22,7.07,13.63,4.04,13.83,9.77,11.18,13.77,9.73,10.01,11.28,5.84,12.16,13.46,10.05,8.73,9.78,8.16,9.24,7.56,4.8,11.1,5.77,10.14,12.82,13.03,12.45,10.5,6.26,10.11,5.15,1.34
4.09,5.76,6.26,2.16,0.0,9.72,8.17,8.43,2.56,4.43,4.44,5.18,3.74,5.49,3.35,9.91,1.88,10.41,6.04,7.45,10.04,6.01,6.28,7.86,3.67,8.44,9.74,6.32,5.0,6.06,4.44,5.52,3.83,2.64,7.38,3.61,6.41,9.09,9.31,8.72,6.78,2.53,6.69,2.99,2.31
4.55,8.78,5.35,13.14,9.72,0.0,6.79,1.56,7.86,8.29,4.47,10.83,7.6,9.35,6.46,8.37,6.55,2.51,4.49,4.45,8.51,6.83,8.16,1.8,6.6,4.29,8.36,9.99,8.87,6.01,5.5,6.47,7.7,7.66,8.51,8.75,4.9,7.56,7.77,7.34,6.62,7.69,2.97,8.29,11.67
6.8,13.76,10.33,11.9,8.17,6.79,0.0,8.1,9.3,7.57,5.43,11.91,6.88,7.31,5.74,4.49,8.62,6.75,5.44,1.87,3.08,3.93,5.26,6.9,11.7,3.55,2.77,6.63,6.31,4.25,4.28,3.57,6.97,9.38,5.16,10.34,2.24,3.15,4.42,1.75,3.72,6.97,8.07,9.73,10.48
3.28,7.49,4.07,11.86,8.43,1.56,8.1,0.0,6.57,6.99,3.17,9.51,6.31,8.06,5.16,9.71,5.26,3.8,3.19,5.79,9.84,5.16,6.73,1.25,5.29,5.63,9.69,8.89,7.57,4.71,4.21,5.03,6.4,6.34,6.89,7.44,6.24,8.89,9.11,8.68,7.95,6.39,1.66,7.0,10.35
3.52,5.19,4.33,4.72,2.56,7.86,9.3,6.57,0.0,5.54,5.55,4.6,4.86,6.61,4.46,11.02,1.31,8.53,5.58,8.57,11.16,7.12,7.4,5.98,3.1,9.55,10.85,7.44,6.12,7.17,5.55,6.63,4.95,2.07,8.49,3.04,7.53,10.21,10.43,9.84,7.89,3.65,6.65,1.91,4.79
6.1,8.82,7.81,8.15,4.43,8.29,7.57,6.99,5.54,0.0,3.87,8.2,2.26,2.18,2.78,6.14,4.91,9.0,5.47,6.88,6.28,5.44,2.97,6.45,6.7,7.87,7.5,3.01,1.69,5.49,3.87,3.99,1.13,5.67,3.65,6.64,5.84,5.62,5.14,6.65,4.57,3.26,7.71,6.02,6.77
2.28,8.84,5.42,8.16,4.44,4.47,5.43,3.17,5.55,3.87,0.0,8.16,3.14,4.89,1.99,7.25,4.26,5.14,1.61,4.8,7.39,3.35,4.55,2.58,6.78,5.78,7.08,5.71,4.4,2.44,1.04,2.86,3.23,5.63,4.72,6.6,3.76,6.44,6.65,6.07,4.12,3.22,3.15,5.98,6.73
6.14,5.89,5.54,7.34,5.18,10.83,11.91,9.51,4.6,8.2,8.16,0.0,7.34,9.09,6.94,13.5,3.79,11.48,8.06,11.05,13.64,9.6,9.88,8.92,3.67,13.26,13.33,9.92,8.6,9.65,8.03,9.11,7.43,2.64,10.97,1.66,10.01,12.69,12.91,12.32,10.38,6.13,7.75,4.22,7.27
5.42,8.14,7.13,7.47,3.74,7.6,6.88,6.31,4.86,2.26,3.14,7.34,0.0,3.33,2.1,7.29,4.22,8.32,4.79,6.2,7.43,4.75,4.12,5.77,6.02,7.18,8.48,4.16,2.84,4.8,3.19,4.26,1.67,4.98,4.8,5.95,5.16,7.84,6.29,7.47,5.53,2.58,7.02,5.34,6.09
