0.0,11.59,12.57,12.59,21.66,18.11,25.46,5.92,13.53,11.22,7.91,12.67,10.31,12.71,1.15,8.56,14.68,6.73,12.84,18.41,18.66,17.76,11.91,18.35,18.63,19.6,25.27,12.46,27.05,20.0,6.42,2.24,17.57,17.67,5.74,20.75,18.75,6.07,16.46,14.89,13.74,17.5,24.49,5.06,13.57,23.64,23.67,16.85,15.36,13.91,9.43,17.5,6.84,19.63,17.52,16.29,17.88,4.32,16.35,14.61,20.13,4.84,19.79,3.38,14.93,25.85,7.01,12.64,3.82,6.62,16.19,9.93,8.48,7.9,10.79,14.97,10.19,15.55,10.77,13.55,17.01,14.37,14.47,11.47,9.24,8.05,20.11,20.95
11.59,0.0,1.89,19.92,16.97,17.55,24.07,13.25,6.23,18.55,15.24,20.01,17.64,20.05,10.74,15.89,7.38,14.85,13.91,14.97,14.65,13.07,14.33,11.05,13.94,14.91,22.7,12.24,21.29,15.32,14.77,10.25,15.9,10.37,13.86,16.06,11.45,13.4,9.17,15.69,12.62,16.93,19.99,13.18,13.83,18.95,18.86,13.41,13.86,11.12,16.76,10.21,14.18,14.94,13.16,15.03,18.28,12.44,11.83,15.4,15.44,12.96,15.1,11.5,12.01,21.04,14.34,15.72,8.31,5.86,8.89,2.64,4.81,3.74,0.81,7.68,1.9,8.26,3.47,1.96,9.72,7.07,11.7,15.37,16.58,15.39,16.09,16.26
12.57,1.89,0.0,20.89,17.95,18.52,25.04,14.22,7.21,19.53,16.22,20.98,18.61,21.02,11.72,16.86,8.36,15.82,14.89,15.95,15.63,14.05,15.3,12.03,14.92,15.89,23.68,13.21,22.26,16.29,15.75,11.22,16.87,11.35,14.84,17.04,12.43,14.37,10.14,16.66,13.6,17.91,20.97,14.16,14.8,19.92,19.83,14.39,14.84,12.09,17.73,11.18,15.15,15.92,14.13,16.01,19.25,13.41,12.81,16.38,16.42,13.94,16.08,12.47,12.98,22.01,15.31,16.7,9.28,6.83,9.87,3.61,5.78,4.72,1.78,8.65,2.88,9.23,4.45,3.85,10.69,8.05,12.67,16.35,17.55,16.36,17.07,17.23
12.59,19.92,20.89,0.0,18.32,14.76,21.5,8.11,21.66,1.37,4.97,1.8,6.96,1.54,11.89,5.21,22.81,10.93,9.49,15.06,15.32,14.41,8.57,15.43,15.28,16.25,21.31,9.11,23.09,16.66,9.67,10.89,14.22,11.74,10.73,17.4,14.1,8.3,14.02,11.55,10.39,14.15,17.21,9.26,10.22,20.29,16.08,13.5,12.01,10.56,8.49,14.0,6.69,16.29,14.17,12.95,15.5,8.7,13.0,11.26,16.78,11.45,16.44,9.98,11.58,21.89,6.08,11.58,11.95,14.75,24.32,18.06,16.61,16.03,18.92,23.1,18.32,23.68,18.9,21.68,13.77,15.15,11.12,8.12,4.0,7.12,16.76,17.6
21.66,16.97,17.95,18.32,0.0,8.45,10.3,17.02,12.29,16.71,13.87,18.16,12.18,18.2,20.79,12.89,13.44,19.83,10.46,2.9,1.94,4.38,10.88,8.45,3.3,6.46,8.93,9.45,7.52,6.87,18.58,19.79,6.8,8.58,19.63,1.42,7.13,17.2,9.53,7.1,9.25,7.84,10.9,18.17,10.38,5.18,13.87,4.98,6.02,8.69,13.32,7.02,15.6,4.62,3.22,5.93,14.55,17.6,4.27,9.55,6.99,20.35,6.65,18.89,7.27,7.26,14.98,9.87,21.11,18.66,14.95,15.29,17.61,16.55,16.29,13.73,15.7,14.31,15.14,19.06,9.28,10.66,9.9,11.92,14.73,15.43,1.96,1.87
18.11,17.55,18.52,14.76,8.45,0.0,5.58,13.68,12.28,13.37,10.54,14.82,8.84,14.86,17.45,9.55,13.44,16.49,7.12,4.43,6.62,7.43,7.54,8.45,8.3,9.27,7.3,6.62,9.09,9.68,15.24,16.46,1.87,7.17,16.3,8.41,7.12,13.87,9.53,3.5,5.51,0.79,3.73,14.83,7.04,13.01,2.6,4.47,3.98,5.84,9.58,7.02,12.26,9.31,5.48,2.72,2.02,14.27,5.17,4.92,9.8,17.01,9.46,15.55,5.94,7.89,11.64,6.13,17.52,18.66,14.95,15.29,17.61,16.54,16.29,13.73,15.69,14.31,15.14,19.05,9.28,10.66,7.05,8.59,11.39,11.69,5.75,14.06
25.46,24.07,25.04,21.5,10.3,5.58,0.0,17.16,19.95,19.29,15.98,20.74,15.03,20.78,24.17,15.74,21.11,23.21,13.31,9.66,11.48,12.42,13.73,16.12,11.34,14.5,1.96,12.81,3.74,14.9,20.93,23.17,7.72,14.02,23.02,10.5,14.79,20.18,17.19,8.74,11.7,6.33,1.82,21.55,13.23,6.11,2.84,9.71,9.21,12.69,12.36,14.69,15.74,12.66,12.76,7.96,5.81,20.99,10.41,10.15,15.03,23.73,14.69,22.27,12.79,3.0,14.7,10.99,24.24,27.04,22.61,22.96,28.89,28.32,23.96,21.4,23.36,21.98,22.81,26.72,16.94,18.33,13.9,14.77,17.31,14.48,11.82,9.11
5.92,13.25,14.22,8.11,17.02,13.68,17.16,0.0,15.01,6.81,3.5,8.26,5.89,8.3,5.24,4.14,16.17,4.28,8.42,14.0,14.25,13.35,7.5,14.37,14.22,15.19,20.99,8.04,22.77,15.59,3.03,4.24,13.16,10.67,4.09,16.34,13.04,1.66,17.95,10.48,9.33,13.09,20.21,2.62,9.16,19.23,19.4,12.44,10.95,9.5,5.01,12.93,2.43,15.22,13.1,11.88,13.47,2.06,11.94,10.2,15.72,4.8,15.38,3.34,10.52,21.57,2.6,8.23,5.31,8.11,17.68,11.42,9.97,9.39,12.27,16.46,11.68,17.04,12.26,15.04,18.5,15.85,10.06,7.06,4.83,3.64,15.69,16.53
13.53,6.23,7.21,21.66,12.29,12.28,19.95,15.01,0.0,20.49,17.18,21.94,10.82,21.98,12.67,11.53,1.44,16.78,9.1,10.16,9.84,8.26,9.52,6.24,9.13,10.1,17.89,7.43,16.48,10.51,16.71,12.18,11.09,5.56,15.8,11.25,6.64,15.33,4.36,10.88,7.81,12.12,15.18,15.12,9.02,14.14,14.05,8.6,9.05,6.31,14.36,5.4,16.11,10.13,8.35,10.22,13.47,14.37,7.02,10.59,10.63,14.9,10.29,13.43,7.2,16.23,16.27,10.91,10.24,7.79,2.95,4.42,6.74,5.68,5.42,1.73,4.83,2.31,4.28,8.19,4.9,2.26,6.89,10.56,18.51,17.32,11.28,11.45
11.22,18.55,19.53,1.37,16.71,13.37,19.29,6.81,20.49,0.0,3.6,1.45,5.59,1.49,10.52,3.84,21.44,9.56,8.12,13.7,13.95,13.05,7.2,14.07,13.92,14.89,19.94,7.74,21.73,15.29,8.31,9.52,12.85,10.37,9.36,16.04,12.74,6.93,12.66,10.18,9.03,12.79,15.84,7.9,8.86,18.93,14.71,12.14,10.65,9.2,7.13,12.63,5.33,14.92,12.8,11.58,14.13,7.33,11.64,9.89,15.42,10.08,15.08,8.62,10.22,20.53,4.71,10.21,10.58,13.38,22.95,16.7,15.24,14.66,17.55,21.74,16.95,22.32,17.53,20.32,12.41,13.79,9.76,6.76,2.64,5.76,15.39,16.23
