0.0,5.49,5.28,7.49,7.43,12.96,3.97,7.53,10.96,1.75,12.09,11.37,6.24,9.31,12.7,3.36,6.44,11.29,6.78,6.71,2.49,6.18,10.21,6.37,5.12,3.76,3.76,4.31,7.69,5.16,5.21,11.23,4.43,5.34,6.54,10.72,14.52,13.08
5.49,0.0,1.28,5.4,3.44,10.87,4.05,3.54,6.97,4.53,9.99,9.28,4.12,7.22,10.6,4.84,5.84,9.2,2.79,2.72,3.46,1.59,8.12,2.37,4.52,4.05,1.68,3.28,3.69,3.1,3.61,9.14,2.97,3.8,2.54,8.63,12.43,10.99
5.28,1.28,0.0,4.93,2.66,10.4,5.36,3.07,6.16,4.3,9.52,8.81,3.65,6.75,10.13,4.61,8.61,8.73,1.67,1.94,3.22,2.9,7.65,1.38,4.29,3.72,2.21,4.59,2.72,4.41,3.37,8.67,2.73,3.33,2.07,8.16,11.96,10.52
7.49,5.4,4.93,0.0,8.12,5.47,10.17,8.15,13.48,9.44,4.59,3.88,6.1,1.82,5.2,8.08,3.68,3.8,9.98,9.03,8.36,9.6,2.72,8.89,4.71,8.86,7.61,9.41,10.2,10.25,6.52,3.74,7.26,5.33,7.16,3.23,7.03,5.58
7.43,3.44,2.66,8.12,0.0,10.31,7.53,2.16,8.85,6.48,9.43,8.72,2.88,6.66,10.04,5.99,8.52,8.64,3.5,2.28,5.4,5.07,7.56,4.07,4.99,5.9,4.39,6.77,4.55,6.58,4.43,8.58,4.91,3.24,1.5,8.07,11.87,10.43
12.96,10.87,10.4,5.47,10.31,0.0,12.93,10.91,16.24,12.19,4.81,3.67,8.86,4.76,2.09,10.84,6.62,6.56,12.73,11.78,11.12,12.36,5.66,11.64,9.83,11.61,10.37,12.16,12.96,13.01,9.28,3.79,10.01,8.08,9.91,6.17,1.56,1.41
3.97,4.05,5.36,10.17,7.53,12.93,0.0,7.58,10.67,2.96,11.8,11.09,5.95,9.03,12.41,3.51,6.15,11.01,6.5,6.76,2.64,3.22,9.93,6.08,4.84,2.12,3.48,0.8,7.4,2.2,4.93,10.95,4.14,5.05,6.59,10.43,14.24,12.79
7.53,3.54,3.07,8.15,2.16,10.91,7.58,0.0,9.02,6.54,9.41,8.7,1.87,6.64,10.02,5.97,8.5,8.62,3.74,2.51,5.46,5.14,7.54,4.43,4.96,5.96,4.46,6.83,4.79,6.65,4.4,8.56,5.14,3.21,1.18,8.05,11.85,10.4
10.96,6.97,6.16,13.48,8.85,16.24,10.67,9.02,0.0,10.05,15.52,14.8,9.64,12.74,16.13,10.36,11.36,14.72,6.17,6.99,8.98,8.65,13.64,5.92,10.05,9.47,7.97,10.03,4.82,10.16,9.13,14.66,8.49,9.32,8.06,14.15,17.95,16.51
1.75,4.53,4.3,9.44,6.48,12.19,2.96,6.54,10.05,0.0,11.08,10.37,5.23,8.31,11.69,2.35,5.43,10.29,5.78,5.71,1.48,5.17,9.21,5.37,4.12,2.76,2.76,3.31,6.68,4.15,4.21,10.23,3.42,4.34,5.53,9.71,13.52,12.07
12.09,9.99,9.52,4.59,9.43,4.81,11.8,9.41,15.52,11.08,0.0,3.99,7.74,3.44,2.89,9.72,3.79,5.44,11.61,10.66,10.0,11.23,3.12,10.52,4.82,10.49,9.25,11.04,11.84,11.89,8.15,2.01,8.89,6.96,8.79,2.13,5.21,5.1
11.37,9.28,8.81,3.88,8.72,3.67,11.09,8.7,14.8,10.37,3.99,0.0,7.06,2.78,1.75,9.04,4.6,4.76,10.93,9.98,9.32,10.56,3.64,9.85,5.63,9.82,8.57,10.37,11.16,11.21,7.48,2.17,8.22,6.29,8.11,4.14,4.07,3.96
6.24,4.12,3.65,6.1,2.88,8.86,5.95,1.87,9.64,5.23,7.74,7.06,0.0,4.53,7.92,3.87,6.39,6.51,6.2,2.89,4.15,5.82,5.43,5.11,2.87,4.65,3.4,5.2,5.17,6.04,2.31,6.46,3.05,1.12,1.16,5.94,9.74,8.3
9.31,7.22,6.75,1.82,6.66,4.76,9.03,6.64,12.74,8.31,3.44,2.78,4.53,0.0,2.86,6.92,2.58,2.63,8.81,7.86,7.19,8.43,1.62,7.72,5.91,7.69,6.44,8.24,9.03,9.08,5.35,2.65,6.09,4.16,5.99,2.13,6.68,5.23
12.7,10.6,10.13,5.2,10.04,2.09,12.41,10.02,16.13,11.69,2.89,1.75,7.92,2.86,0.0,9.79,5.57,5.5,11.68,10.73,10.06,11.3,4.61,10.59,8.78,10.56,9.31,11.11,11.9,11.95,8.22,1.87,8.96,7.03,8.86,5.11,2.48,2.37
3.36,4.84,4.61,8.08,5.99,10.84,3.51,5.97,10.36,2.35,9.72,9.04,3.87,6.92,9.79,0.0,4.11,8.96,6.08,6.01,1.31,5.48,7.88,5.67,2.79,3.06,3.06,3.61,6.98,4.45,3.69,8.9,2.1,3.01,5.27,8.39,12.19,10.75
6.44,5.84,8.61,3.68,8.52,6.62,6.15,8.5,11.36,5.43,3.79,4.6,6.39,2.58,5.57,4.11,0.0,4.52,10.7,9.75,4.21,6.22,2.2,9.61,1.69,4.71,4.23,5.26,10.92,6.1,3.95,4.4,3.11,3.72,7.88,2.42,8.56,7.12
11.29,9.2,8.73,3.8,8.64,6.56,11.01,8.62,14.72,10.29,5.44,4.76,6.51,2.63,5.5,8.96,4.52,0.0,6.18,5.23,4.56,5.8,6.28,5.09,3.28,5.06,3.81,5.61,6.4,6.45,2.72,7.3,3.46,1.53,3.36,6.79,10.59,9.15
6.78,2.79,1.67,9.98,3.5,12.73,6.5,3.74,6.17,5.78,11.61,10.93,6.2,8.81,11.68,6.08,10.7,6.18,0.0,1.47,4.71,4.39,10.02,1.17,5.78,5.21,3.7,5.76,1.71,5.89,4.86,11.04,4.22,5.69,3.17,10.52,14.33,12.88
