0.0,3.84,1.31,4.86,2.44,3.44,1.15,13.04,14.15,58.25,58.32,58.83,60.47,60.25,59.67,57.99,33.22,52.7,51.83,33.16,32.2,33.46,17.01,17.84,47.76,36.65,34.93,38.79,48.18,48.72,77.75,77.65,77.27,75.4,76.52,74.72,75.77,86.96,86.1,77.05,78.6,34.46,29.19,30.54,33.39,30.68,31.17,3.44,4.55,2.79,3.85,2.41,29.46,28.24,24.98,70.9,70.05,3.9,5.6,4.22,25.14,29.32,23.84,39.11,39.34,38.97,27.82,26.52,28.98,28.8,24.64,18.49,16.86,17.82,18.44,20.03,21.94,21.95,22.13,21.6,19.27,45.5,45.36,11.25,10.03,5.93,6.93,11.22,6.97,22.93,23.61,30.5,23.26,31.5,47.28,24.68,58.93,46.16,45.38,45.53,24.01,25.43,28.52,47.54,46.81,46.42,50.03,52.01,47.47,7.54,10.65,49.97,49.09,51.04,63.83,74.8,19.57,64.67,62.89,64.7,65.38,31.04,29.18,30.66,61.19,31.86,30.48,26.49,18.66,31.7,31.4,31.94,79.21,59.95,32.42,31.72,35.26,35.05,34.34,31.64,32.96,35.37,37.89,48.61,50.82,50.4,49.76,50.06,53.55,55.1,55.14,54.19,55.44,54.3,54.82,53.33,59.66,58.95,59.46,60.55,60.45,61.37,47.92,60.7,74.82,75.47,75.16,74.72,74.57,82.21,83.45,84.7,83.91,90.31,78.69,76.32,75.04,97.13,97.81,88.42,89.99,86.75,87.2,89.58,88.64,88.84,89.02,89.43,88.91,88.45,88.26,88.73,89.55,90.24,90.48,89.76,89.35,90.3,109.96,78.0,96.66,91.27,93.84,92.05,93.62,92.22,115.72,117.41,116.57,116.32,115.31,72.63,71.49,117.2,112.63,116.87,116.73,116.5,114.88,108.66,108.33,112.74,111.81,105.04,126.66,128.6,129.77,129.88,128.85,127.85,129.95,129.9,129.06,135.51,133.16,135.85,137.39,137.9,139.16,139.84,138.28,100.94,149.21,149.46,148.82,148.9,149.76,151.03,151.23,156.72,149.04,153.29,151.79,150.83,136.24,172.06,172.72,145.81,146.54,146.74,157.89,156.98,157.14,157.94,158.52,154.96,157.61,137.68,137.64,146.27,157.13,157.69,156.69,155.41,152.87,155.0,152.22,155.12,153.75,159.09,154.92,157.99,157.8,155.26,153.9,166.6,168.79,170.65,170.03,169.13,183.37,182.61,182.95,194.56,186.47,48.86
3.84,0.0,4.87,1.33,3.31,1.0,2.95,11.83,12.94,53.39,53.46,53.97,55.61,55.39,54.81,53.13,36.77,47.84,46.97,28.3,27.34,28.6,17.49,18.32,42.9,31.78,30.07,33.93,43.32,43.86,72.88,72.79,72.41,70.54,71.66,69.86,70.91,82.1,81.24,72.19,73.74,29.6,24.33,25.68,28.53,25.82,26.31,2.03,4.57,2.9,2.89,1.79,24.6,23.38,20.12,66.04,65.19,1.08,2.3,2.14,20.28,24.46,18.98,34.25,34.48,34.11,22.96,21.66,24.12,23.94,19.78,13.63,12.0,12.96,13.58,15.17,17.08,17.09,17.27,16.74,14.41,40.64,40.5,6.13,4.9,4.72,5.72,10.01,5.76,18.07,18.75,25.64,18.4,26.64,42.42,19.82,54.07,41.3,40.52,40.66,19.15,20.57,23.66,42.68,41.95,41.56,45.17,47.15,42.61,11.1,11.13,45.11,44.22,46.18,58.97,69.94,18.35,59.81,58.03,59.84,60.52,26.18,24.32,25.8,56.33,30.65,29.26,25.28,17.44,30.49,30.19,30.73,74.35,55.09,31.21,30.5,34.04,33.84,33.13,26.78,28.1,30.51,33.03,43.75,45.96,45.54,44.9,45.2,48.69,50.24,50.28,49.33,50.58,49.44,49.96,48.47,54.8,54.09,54.6,55.69,55.59,56.51,43.06,55.84,69.96,70.61,70.3,69.86,69.71,77.35,78.59,79.84,79.05,85.45,73.83,71.46,70.18,92.27,92.95,83.56,85.13,81.89,82.34,84.72,83.78,83.98,84.16,84.57,84.05,83.59,83.4,83.87,84.69,85.38,85.62,84.9,84.49,85.44,105.1,73.14,91.8,86.41,88.98,87.19,88.76,87.36,110.86,112.55,111.71,111.46,110.45,71.42,70.27,112.34,107.77,112.01,111.87,111.64,110.02,103.8,103.47,107.88,106.95,100.18,121.8,123.74,124.91,125.02,123.99,122.99,125.09,125.04,124.2,130.65,128.3,130.99,132.53,133.04,134.3,134.98,133.42,96.08,144.35,144.6,143.96,144.04,144.9,146.17,146.37,151.86,144.18,148.43,146.93,145.97,131.38,167.2,167.86,140.95,141.68,141.88,153.03,152.12,152.28,153.08,153.66,150.1,152.75,132.82,132.78,141.41,152.27,152.83,151.83,150.55,148.01,150.14,147.36,150.26,148.89,154.23,150.06,153.13,152.94,150.4,149.04,161.74,163.93,165.79,165.17,164.27,178.51,177.75,178.09,189.7,181.61,44.0
1.31,4.87,0.0,6.19,2.87,3.86,2.32,13.46,14.57,58.67,58.74,59.25,60.89,60.68,60.09,58.41,31.91,53.13,52.25,33.58,32.62,33.88,15.69,16.53,48.18,37.07,35.35,39.21,48.6,49.14,78.17,78.07,77.69,75.82,76.94,75.14,76.19,87.38,86.52,77.47,79.02,34.88,29.61,30.96,33.81,31.1,31.59,4.62,5.11,3.8,5.09,3.58,29.88,28.66,25.41,71.32,70.47,5.07,7.17,5.39,25.56,29.74,24.26,39.53,39.77,39.39,28.24,26.94,29.4,29.22,25.06,18.91,17.28,18.24,18.86,20.45,22.36,22.37,22.55,22.02,19.69,45.92,45.79,11.67,10.45,6.35,7.35,11.64,7.39,23.36,24.03,30.92,23.68,31.92,47.7,25.1,59.35,46.58,45.8,45.95,24.44,25.85,28.94,47.96,47.23,46.84,50.45,52.43,47.89,6.23,9.33,50.39,49.51,51.46,64.25,75.22,19.99,65.09,63.31,65.13,65.8,31.46,29.6,31.08,61.61,32.28,30.9,26.91,19.08,32.12,31.82,32.36,79.63,60.37,32.84,32.14,35.68,35.48,34.76,32.06,33.38,35.79,38.31,49.03,51.24,50.82,50.18,50.48,53.97,55.52,55.56,54.62,55.86,54.72,55.24,53.75,60.08,59.37,59.88,60.97,60.87,61.79,48.34,61.12,75.24,75.89,75.58,75.14,74.99,82.63,83.87,85.12,84.33,90.73,79.11,76.74,75.46,97.56,98.24,88.85,90.41,87.17,87.62,90.0,89.06,89.26,89.44,89.86,89.33,88.87,88.68,89.15,89.97,90.66,90.9,90.18,89.77,90.73,110.38,78.42,97.08,91.69,94.26,92.47,94.04,92.64,116.14,117.83,116.99,116.74,115.73,73.05,71.91,117.62,113.05,117.29,117.15,116.92,115.3,109.08,108.75,113.16,112.23,105.46,127.09,129.02,130.19,130.3,129.27,128.27,130.37,130.32,129.48,135.93,133.58,136.27,137.81,138.32,139.58,140.26,138.7,101.36,149.63,149.88,149.24,149.33,150.18,151.45,151.65,157.14,149.46,153.71,152.21,151.25,136.66,172.48,173.14,146.23,146.96,147.16,158.32,157.4,157.56,158.36,158.94,155.38,158.03,138.1,138.06,146.69,157.55,158.11,157.11,155.83,153.29,155.42,152.64,155.54,154.17,159.51,155.34,158.41,158.22,155.68,154.32,167.02,169.21,171.07,170.45,169.55,183.79,183.04,183.37,194.98,186.89,49.28
4.86,1.33,6.19,0.0,4.71,2.4,3.91,13.22,14.33,52.3,52.37,52.88,54.52,54.3,53.72,52.04,37.67,46.75,45.88,27.21,26.25,27.5,18.08,18.91,41.81,30.69,28.98,32.84,42.23,42.77,71.79,71.7,71.32,69.45,70.57,68.77,69.82,81.01,80.15,71.1,72.65,28.51,23.24,24.59,27.44,24.73,25.22,2.99,5.15,3.87,3.48,2.76,23.5,22.29,19.03,64.95,64.1,2.04,1.21,2.27,19.19,23.37,17.89,33.16,33.39,33.02,21.87,20.57,23.02,22.85,18.69,12.54,10.91,11.87,12.49,14.08,15.99,16.0,16.18,15.65,13.32,39.55,39.41,5.03,3.81,4.34,4.57,8.86,5.43,16.98,17.66,24.55,17.31,25.55,41.33,18.73,52.98,40.21,39.43,39.57,18.06,19.48,22.57,41.59,40.86,40.47,44.08,46.06,41.51,12.49,11.72,44.02,43.13,45.09,57.88,68.85,18.48,58.72,56.94,58.75,59.43,25.09,23.23,24.71,55.24,29.5,28.12,24.13,16.29,29.34,29.04,29.58,73.26,54.0,30.06,29.35,32.89,32.69,31.98,25.69,27.01,29.42,31.94,42.66,44.87,44.45,43.81,44.11,47.6,49.15,49.19,48.24,49.49,48.35,48.87,47.38,53.71,53.0,53.51,54.6,54.5,55.42,41.97,54.75,68.87,69.52,69.21,68.77,68.62,76.26,77.5,78.75,77.96,84.36,72.74,70.37,69.09,91.18,91.86,82.47,84.04,80.8,81.25,83.62,82.69,82.89,83.06,83.48,82.96,82.5,82.31,82.78,83.6,84.29,84.53,83.81,83.4,84.35,104.01,72.05,90.71,85.32,87.89,86.1,87.67,86.27,109.77,111.46,110.62,110.37,109.36,70.27,69.13,111.25,106.68,110.92,110.78,110.55,108.93,102.71,102.38,106.79,105.86,99.09,120.71,122.65,123.82,123.93,122.9,121.9,124.0,123.95,123.11,129.56,127.2,129.9,131.44,131.95,133.21,133.89,132.33,94.99,143.26,143.51,142.87,142.95,143.81,145.07,145.28,150.77,143.09,147.34,145.84,144.88,130.29,166.11,166.77,139.86,140.59,140.78,151.94,151.03,151.19,151.99,152.57,149.01,151.66,131.73,131.69,140.32,151.18,151.74,150.74,149.46,146.92,149.05,146.27,149.17,147.8,153.13,148.97,152.04,151.85,149.31,147.95,160.65,162.84,164.7,164.08,163.18,177.42,176.66,176.99,188.61,180.52,42.91
2.44,3.31,2.87,4.71,0.0,2.31,3.45,11.91,13.02,57.11,57.19,57.7,59.34,59.12,58.54,56.86,34.77,51.57,50.7,32.03,31.07,32.32,18.56,19.39,46.63,35.51,33.8,37.66,47.05,47.58,76.61,76.51,76.14,74.27,75.39,73.59,74.64,85.83,84.97,75.92,77.47,33.33,28.06,29.41,32.26,29.55,30.04,5.34,6.85,5.09,6.21,5.1,28.32,27.11,23.85,69.77,68.92,4.39,5.62,5.45,24.01,28.19,22.71,37.97,38.21,37.84,26.69,25.38,27.84,27.67,23.51,17.36,15.73,16.69,17.31,18.89,20.81,20.82,21.0,20.47,18.13,44.37,44.23,10.12,8.9,4.8,5.8,10.09,5.84,21.8,22.48,29.36,22.13,30.37,46.14,23.55,57.8,45.03,44.25,44.39,22.88,24.3,27.39,46.41,45.67,45.29,48.9,50.88,46.33,9.1,12.2,48.84,47.95,49.9,62.69,73.67,18.43,63.53,61.75,63.57,64.25,29.91,28.05,29.53,60.06,30.73,29.35,25.36,17.52,30.57,30.27,30.81,78.07,58.82,31.29,30.58,34.12,33.92,33.21,30.51,31.83,34.24,36.76,47.48,49.69,49.27,48.63,48.93,52.41,53.97,54.01,53.06,54.31,53.17,53.69,52.19,58.53,57.82,58.33,59.42,59.32,60.24,46.79,59.57,73.69,74.34,74.03,73.59,73.44,81.07,82.32,83.56,82.78,89.18,77.56,75.19,73.91,96.0,96.68,87.29,88.86,85.62,86.07,88.44,87.51,87.7,87.88,88.3,87.78,87.32,87.13,87.6,88.42,89.11,89.35,88.63,88.22,89.17,108.83,76.87,95.53,90.14,92.71,90.92,92.49,91.08,114.59,116.28,115.44,115.19,114.18,71.5,70.36,116.06,111.5,115.74,115.6,115.37,113.74,107.53,107.2,111.61,110.68,103.91,125.53,127.46,128.63,128.75,127.72,126.72,128.82,128.77,127.93,134.37,132.02,134.72,136.26,136.77,138.02,138.71,137.15,99.81,148.07,148.32,147.68,147.77,148.63,149.89,150.09,155.58,147.91,152.16,150.66,149.7,135.11,170.93,171.59,144.68,145.41,145.6,156.76,155.85,156.01,156.81,157.39,153.83,156.48,136.55,136.51,145.14,156.0,156.56,155.56,154.28,151.74,153.87,151.09,153.99,152.62,157.95,153.78,156.86,156.67,154.13,152.77,165.47,167.66,169.51,168.9,168.0,182.24,181.48,181.81,193.43,185.33,47.73
3.44,1.0,3.86,2.4,2.31,0.0,3.95,10.82,11.94,54.39,54.46,54.97,56.61,56.4,55.82,54.13,35.77,48.85,47.97,29.3,28.34,29.6,18.5,19.33,43.9,32.79,31.08,34.93,44.32,44.86,73.89,73.79,73.42,71.54,72.66,70.86,71.91,83.1,82.25,73.19,74.74,30.6,25.34,26.68,29.53,26.82,27.31,3.03,5.57,3.91,3.9,2.79,25.6,24.38,21.13,67.04,66.19,2.08,3.31,3.14,21.28,25.47,19.98,35.25,35.49,35.11,23.96,22.66,25.12,24.94,20.78,14.64,13.0,13.97,14.59,16.17,18.08,18.09,18.28,17.75,15.41,41.64,41.51,7.13,5.91,3.71,4.72,9.01,4.75,19.08,19.75,26.64,19.4,27.65,43.42,20.82,55.07,42.3,41.53,41.67,20.16,21.58,24.66,43.68,42.95,42.56,46.17,48.15,43.61,10.09,12.13,46.11,45.23,47.18,59.97,70.95,17.35,60.81,59.03,60.85,61.53,27.18,25.33,26.8,57.33,29.64,28.26,24.27,16.44,29.48,29.19,29.72,75.35,56.09,30.2,29.5,33.04,32.84,32.13,27.78,29.1,31.51,34.03,44.75,46.97,46.54,45.9,46.2,49.69,51.24,51.28,50.34,51.58,50.44,50.96,49.47,55.8,55.1,55.6,56.69,56.59,57.51,44.06,56.84,70.96,71.62,71.31,70.86,70.71,78.35,79.59,80.84,80.05,86.45,74.83,72.46,71.18,93.28,93.96,84.57,86.14,82.89,83.34,85.72,84.78,84.98,85.16,85.58,85.05,84.59,84.4,84.87,85.69,86.38,86.62,85.91,85.5,86.45,106.1,74.15,92.8,87.41,89.98,88.19,89.76,88.36,111.86,113.55,112.71,112.47,111.46,70.41,69.27,113.34,108.77,113.02,112.88,112.64,111.02,104.8,104.47,108.88,107.95,101.18,122.81,124.74,125.91,126.02,124.99,123.99,126.09,126.04,125.21,131.65,129.3,132.0,133.53,134.04,135.3,135.98,134.43,97.08,145.35,145.6,144.96,145.05,145.9,147.17,147.37,152.86,145.19,149.43,147.93,146.98,132.38,168.2,168.87,141.96,142.68,142.88,154.04,153.12,153.28,154.08,154.67,151.1,153.75,133.82,133.78,142.41,153.28,153.83,152.83,151.56,149.01,151.15,148.36,151.26,149.89,155.23,151.06,154.13,153.94,151.4,150.04,162.75,164.93,166.79,166.18,165.27,179.52,178.76,179.09,190.7,182.61,45.0
1.15,2.95,2.32,3.91,3.45,3.95,0.0,14.05,15.16,55.92,55.99,56.5,58.14,57.93,57.35,55.66,34.23,50.38,49.5,30.83,29.87,31.13,16.24,17.07,45.43,34.32,32.61,36.46,45.85,46.39,75.42,75.32,74.95,73.07,74.19,72.39,73.44,84.63,83.78,74.72,76.27,32.13,26.87,28.21,31.06,28.35,28.84,2.45,3.31,1.79,2.86,1.41,27.13,25.91,22.66,68.57,67.72,2.9,4.61,3.22,22.81,26.99,21.51,36.78,37.02,36.64,25.49,24.19,26.65,26.47,22.31,16.16,14.53,15.5,16.12,17.7,19.61,19.62,19.81,19.27,16.94,43.17,43.04,8.66,7.44,6.94,7.94,12.23,7.98,20.61,21.28,28.17,20.93,29.18,44.95,22.35,56.6,43.83,43.05,43.2,21.69,23.11,26.19,45.21,44.48,44.09,47.7,49.68,45.14,8.55,9.88,47.64,46.76,48.71,61.5,72.47,20.58,62.34,60.56,62.38,63.06,28.71,26.86,28.33,58.86,32.87,31.49,27.5,19.67,32.71,32.41,32.95,76.88,57.62,33.43,32.73,36.27,36.06,35.35,29.31,30.63,33.04,35.56,46.28,48.5,48.07,47.43,47.73,51.22,52.77,52.81,51.87,53.11,51.97,52.49,51.0,57.33,56.63,57.13,58.22,58.12,59.04,45.59,58.37,72.49,73.14,72.83,72.39,72.24,79.88,81.12,82.37,81.58,87.98,76.36,73.99,72.71,94.81,95.49,86.1,87.67,84.42,84.87,87.25,86.31,86.51,86.69,87.11,86.58,86.12,85.93,86.4,87.22,87.91,88.15,87.44,87.03,87.98,107.63,75.68,94.33,88.94,91.51,89.72,91.29,89.89,113.39,115.08,114.24,113.99,112.98,73.64,72.5,114.87,110.3,114.54,114.4,114.17,112.55,106.33,106.0,110.41,109.48,102.71,124.34,126.27,127.44,127.55,126.52,125.52,127.62,127.57,126.74,133.18,130.83,133.53,135.06,135.57,136.83,137.51,135.96,98.61,146.88,147.13,146.49,146.58,147.43,148.7,148.9,154.39,146.72,150.96,149.46,148.51,133.91,169.73,170.4,143.49,144.21,144.41,155.57,154.65,154.81,155.61,156.19,152.63,155.28,135.35,135.31,143.94,154.81,155.36,154.36,153.09,150.54,152.68,149.89,152.79,151.42,156.76,152.59,155.66,155.47,152.93,151.57,164.28,166.46,168.32,167.71,166.8,181.04,180.29,180.62,192.23,184.14,46.53
13.04,11.83,13.46,13.22,11.91,10.82,14.05,0.0,6.14,65.44,65.51,66.02,67.66,67.45,66.87,65.19,45.39,59.9,59.03,40.36,39.39,40.65,29.17,30.01,54.95,43.84,42.13,45.98,55.37,55.91,84.94,84.84,84.47,82.59,83.72,81.91,82.96,94.15,93.3,84.24,85.79,41.65,36.39,37.73,40.58,37.87,38.36,13.88,16.41,14.75,14.74,13.64,36.65,35.43,32.18,78.1,77.25,12.92,14.15,13.98,32.33,36.52,31.03,46.3,46.54,46.17,35.01,33.71,36.17,35.99,31.83,25.69,24.05,25.02,25.64,27.22,29.13,29.14,29.33,28.8,26.46,52.69,52.56,18.44,17.22,10.79,11.39,15.99,9.75,30.13,30.8,37.69,30.45,38.7,54.47,31.87,66.12,53.35,52.58,52.72,31.21,32.63,35.71,54.74,54.0,53.62,57.22,59.2,54.66,19.71,22.81,57.16,56.28,58.23,71.02,82.0,6.53,71.86,70.08,71.9,72.58,38.23,36.38,37.85,68.39,32.47,31.08,25.34,23.42,32.31,32.01,32.55,86.4,67.14,33.03,32.32,27.78,27.4,28.72,38.83,40.15,42.56,45.08,55.8,58.02,57.59,56.95,57.25,60.74,62.29,62.33,61.39,62.63,61.49,62.01,60.52,66.85,66.15,66.65,67.74,67.64,68.56,55.11,67.89,82.01,82.67,82.36,81.91,81.76,89.4,90.64,91.89,91.1,97.5,85.89,83.52,82.23,104.33,105.01,95.62,97.19,93.94,94.39,96.77,95.83,96.03,96.21,96.63,96.1,95.64,95.45,95.92,96.75,97.44,97.67,96.96,96.55,97.5,117.16,85.2,103.85,98.46,101.04,99.24,100.82,99.41,122.91,124.6,123.76,123.52,122.51,67.15,66.01,124.39,119.82,124.07,123.93,123.69,122.07,115.85,115.52,119.93,119.0,112.23,133.86,135.79,136.96,137.07,136.04,135.04,137.14,137.09,136.26,142.7,140.35,143.05,144.59,145.09,146.35,147.03,145.48,108.13,156.4,156.65,156.01,156.1,156.96,158.22,158.42,163.91,156.24,160.48,158.98,158.03,143.43,179.25,179.92,153.01,153.73,153.93,165.09,164.17,164.33,165.14,165.72,162.15,164.8,144.87,144.84,153.46,164.33,164.88,163.88,162.61,160.06,162.2,159.41,162.31,160.95,166.28,162.11,165.18,164.99,162.45,161.09,173.8,175.98,177.84,177.23,176.33,190.57,189.81,190.14,201.75,193.66,56.05
14.15,12.94,14.57,14.33,13.02,11.94,15.16,6.14,0.0,66.55,66.62,67.14,68.78,68.56,67.98,66.3,39.36,61.01,60.14,41.47,40.51,41.76,26.11,26.94,56.06,44.95,43.24,47.09,56.49,57.02,86.05,85.95,85.58,83.71,84.83,83.02,84.07,95.26,94.41,85.36,86.91,42.77,37.5,38.84,41.7,38.99,39.47,14.99,17.52,15.86,15.85,14.75,37.76,36.54,33.29,79.21,78.36,14.04,15.26,15.1,33.44,37.63,32.15,47.41,47.65,47.28,36.13,34.82,37.28,37.11,32.95,26.8,25.17,26.13,26.75,28.33,30.25,30.25,30.44,29.91,27.57,53.8,53.67,19.55,18.33,14.23,15.24,19.53,12.04,31.24,31.91,38.8,31.57,39.81,55.58,32.98,67.23,54.46,53.69,53.83,32.32,33.74,36.82,55.85,55.11,54.73,58.34,60.32,55.77,20.82,24.49,58.27,57.39,59.34,72.13,83.11,12.04,72.97,71.19,73.01,73.69,39.34,37.49,38.96,69.5,40.16,38.78,30.84,26.96,40.0,39.71,40.25,87.51,68.25,40.73,40.02,33.29,32.91,34.23,39.95,41.26,43.67,46.2,56.92,59.13,58.71,58.07,58.36,61.85,63.4,63.44,62.5,63.75,62.6,63.13,61.63,67.96,67.26,67.77,68.86,68.76,69.68,56.23,69.0,83.13,83.78,83.47,83.02,82.87,90.51,91.75,93.0,92.22,98.62,87.0,84.63,83.35,105.44,106.12,96.73,98.3,95.05,95.51,97.88,96.95,97.14,97.32,97.74,97.21,96.75,96.57,97.04,97.86,98.55,98.78,98.07,97.66,98.61,118.27,86.31,104.96,99.58,102.15,100.36,101.93,100.52,124.03,125.71,124.87,124.63,123.62,72.66,71.52,125.5,120.94,125.18,125.04,124.8,123.18,116.97,116.63,121.05,120.12,113.34,134.97,136.9,138.07,138.18,137.15,136.15,138.26,138.2,137.37,143.81,141.46,144.16,145.7,146.2,147.46,148.15,146.59,109.25,157.51,157.76,157.12,157.21,158.07,159.33,159.53,165.02,157.35,161.59,160.09,159.14,144.55,180.36,181.03,154.12,154.84,155.04,166.2,165.28,165.45,166.25,166.83,163.26,165.91,145.98,145.95,154.58,165.44,165.99,165.0,163.72,161.18,163.31,160.52,163.42,162.06,167.39,163.22,166.29,166.11,163.57,162.2,174.91,177.09,178.95,178.34,177.44,191.68,190.92,191.25,202.87,194.77,57.16
58.25,53.39,58.67,52.3,57.11,54.39,55.92,65.44,66.55,0.0,1.28,5.9,7.54,6.63,4.89,7.34,89.62,7.58,7.47,45.45,44.49,45.74,68.91,69.75,14.2,22.93,25.08,20.92,26.4,25.33,50.75,50.65,50.28,50.09,48.48,47.75,47.4,50.87,51.92,51.58,51.6,26.07,29.95,29.89,26.62,30.95,28.79,54.2,55.99,55.08,54.32,53.93,33.37,32.16,34.08,39.68,38.83,53.17,52.05,53.11,39.74,41.61,38.82,32.34,32.58,31.11,40.11,38.81,41.26,41.09,39.62,42.2,43.11,44.15,42.74,43.04,44.95,44.96,45.15,46.13,44.32,57.79,57.65,54.81,53.59,53.89,54.12,58.41,54.97,45.95,46.62,53.51,46.27,54.52,59.57,47.69,71.22,58.45,57.67,57.81,47.03,48.45,51.53,59.83,59.1,58.71,62.32,64.3,59.75,63.95,62.55,62.26,61.37,63.33,76.12,56.97,68.03,76.96,75.18,76.99,77.67,54.05,52.2,53.67,84.21,79.04,77.66,73.67,65.84,78.88,78.59,79.12,91.5,72.24,79.6,78.9,82.44,82.24,81.53,54.65,55.97,58.38,60.9,71.62,73.84,73.41,72.77,73.07,76.56,78.11,78.15,77.21,78.45,77.31,77.83,76.34,82.67,81.97,82.47,83.56,83.46,84.38,70.93,83.71,97.83,98.49,98.18,97.73,97.58,105.22,106.46,107.71,106.92,113.32,101.71,99.34,98.06,120.15,120.83,111.44,113.01,109.76,110.21,112.59,111.65,111.85,112.03,112.45,111.92,111.46,111.27,111.74,112.57,113.26,113.49,112.78,112.37,113.32,132.98,101.02,119.67,114.28,116.86,115.06,116.64,115.23,138.74,140.42,139.58,139.34,138.33,119.81,118.67,140.21,135.64,139.89,139.75,139.51,137.89,131.68,131.34,135.75,134.82,128.05,149.68,151.61,152.78,152.89,151.86,150.86,152.96,152.91,152.08,158.52,156.17,158.87,160.41,160.91,162.17,162.85,161.3,123.96,172.22,172.47,171.83,171.92,172.78,174.04,174.24,179.73,172.06,176.3,174.8,173.85,159.25,195.07,195.74,168.83,169.55,169.75,180.91,179.99,180.15,180.96,181.54,177.97,180.62,160.69,160.66,169.28,180.15,180.7,179.7,178.43,175.88,178.02,175.23,178.13,176.77,182.1,177.93,181.0,180.81,178.28,176.91,189.62,191.8,193.66,193.05,192.15,206.39,205.63,205.96,217.58,209.48,61.15
