0.0,5.7,7.81,7.59,8.69,0.72,8.24,6.7,6.3,7.85,6.65,9.05,2.1,7.49,10.02,6.94,7.45,2.87,11.78,18.7,6.73,1.56,11.83,20.2,3.17,6.34,9.6,6.62,9.11,7.24,5.93,9.91,8.92,9.11,9.11,1.25,3.27,5.68,5.03,7.71,11.61,5.66,4.86,5.66,11.91,6.86,6.19,7.29,11.36,6.89,4.35
5.7,0.0,9.63,9.42,10.52,6.7,7.29,9.18,4.92,9.68,6.23,12.19,7.07,9.32,13.16,5.43,9.28,6.26,13.1,20.53,8.56,6.99,13.65,22.02,5.29,8.17,11.42,8.45,10.93,9.06,4.71,11.22,10.23,8.16,12.26,5.89,5.09,5.25,3.65,10.6,12.92,8.15,6.68,7.49,13.22,8.68,8.68,10.06,5.66,9.38,3.93
7.81,9.63,0.0,1.07,3.98,7.43,11.85,6.02,10.35,4.97,9.16,6.59,7.81,5.55,7.56,10.99,2.74,6.99,11.08,14.55,2.98,7.73,8.94,14.04,6.02,4.24,6.72,1.5,6.22,4.35,8.43,9.21,8.22,12.72,6.66,6.63,4.88,8.19,9.09,7.03,10.91,4.98,3.52,2.57,7.43,3.97,5.51,5.18,15.42,6.21,6.86
7.59,9.42,1.07,0.0,3.76,7.22,11.64,5.8,10.14,4.75,8.94,6.38,7.59,5.34,7.35,10.78,2.53,6.78,10.87,14.34,2.77,7.51,8.72,13.82,5.81,4.03,6.5,1.28,6.01,4.14,8.22,8.99,8.0,12.51,6.44,6.41,4.66,7.97,8.87,6.81,10.7,4.77,3.31,2.35,7.21,3.76,5.29,4.97,15.2,6.0,6.64
8.69,10.52,3.98,3.76,0.0,8.32,12.74,6.9,11.24,5.85,10.04,7.48,8.69,6.44,8.45,11.88,2.62,7.87,11.97,12.22,3.86,8.61,9.82,13.71,6.91,5.12,7.6,2.97,7.11,5.24,9.32,10.09,9.1,11.19,7.54,7.51,5.76,9.07,9.97,7.91,11.79,5.87,4.41,3.45,8.31,4.86,6.39,6.07,16.3,7.09,7.74
0.72,6.7,7.43,7.22,8.32,0.0,7.94,6.4,6.0,7.56,6.36,8.75,2.25,7.2,9.72,6.64,7.16,2.57,11.49,18.41,6.44,1.71,11.53,19.9,2.87,6.05,9.3,6.33,8.81,6.94,5.63,9.62,8.63,8.81,8.82,0.8,2.97,5.38,4.74,7.41,11.32,5.37,4.56,5.37,11.61,6.56,5.9,6.99,11.07,6.6,4.05
8.24,7.29,11.85,11.64,12.74,7.94,0.0,10.45,6.48,12.97,3.63,13.46,8.64,12.59,14.43,6.69,12.57,7.82,14.36,18.36,11.85,8.56,16.94,19.86,6.85,11.46,14.71,11.73,14.22,12.35,6.27,12.49,11.5,2.41,13.52,7.46,6.66,3.05,5.21,11.86,14.19,9.42,8.25,10.78,14.49,11.97,9.94,11.32,11.54,10.64,3.76
6.7,9.18,6.02,5.8,6.9,6.4,10.45,0.0,8.1,5.93,8.78,4.56,6.81,5.55,5.53,8.74,5.53,6.0,6.52,16.77,4.81,6.74,9.9,18.26,5.03,4.42,7.67,4.69,7.18,5.31,7.89,3.59,3.51,10.47,4.63,5.64,3.89,7.81,6.83,3.22,6.35,1.75,3.7,3.74,6.65,4.93,1.71,3.09,13.16,1.27,6.48
6.3,4.92,10.35,10.14,11.24,6.0,6.48,8.1,0.0,9.01,5.56,11.52,6.4,8.65,12.49,4.76,8.61,5.59,12.43,19.86,7.89,6.32,12.98,21.36,4.62,7.5,10.76,7.78,10.26,8.39,1.28,10.56,9.57,7.49,11.59,5.22,4.42,4.59,1.51,9.93,12.26,7.48,6.01,6.82,12.55,8.01,8.01,9.39,9.18,8.71,3.26
7.85,9.68,4.97,4.75,5.85,7.56,12.97,5.93,9.01,0.0,9.23,5.82,7.88,5.62,6.79,11.06,4.6,7.06,11.15,9.99,3.88,7.8,3.97,9.07,6.09,3.47,1.75,3.77,1.25,2.54,8.5,9.28,8.29,12.79,5.88,6.7,4.95,8.25,9.16,7.1,10.98,5.05,3.59,2.65,6.65,2.16,5.58,4.41,15.49,6.28,6.93
6.65,6.23,9.16,8.94,10.04,6.36,3.63,8.78,5.56,9.23,0.0,12.85,6.71,8.95,13.82,6.09,8.92,5.89,13.76,18.82,8.19,6.63,13.29,20.31,4.93,7.81,11.06,8.08,10.57,8.7,4.62,11.89,10.9,1.79,12.92,5.53,4.73,1.19,4.18,11.26,13.59,8.81,6.32,7.12,13.88,8.32,9.34,8.75,10.51,10.04,2.43
9.05,12.19,6.59,6.38,7.48,8.75,13.46,4.56,11.52,5.82,12.85,0.0,9.15,6.49,1.37,11.07,6.15,8.33,3.38,17.7,5.43,9.07,9.75,17.51,7.37,2.76,7.52,5.32,7.03,4.63,10.23,5.01,2.82,12.8,1.04,7.97,5.81,10.14,9.17,2.45,3.84,4.09,4.46,4.36,2.54,4.78,2.84,1.61,15.5,4.74,8.81
2.1,7.07,7.81,7.59,8.69,2.25,8.64,6.81,6.4,7.88,6.71,9.15,0.0,7.57,10.09,7.02,7.53,2.94,11.86,18.78,6.81,0.9,11.9,20.28,3.25,6.42,9.68,6.7,9.19,7.31,6.01,9.99,9.0,9.19,9.19,1.65,3.34,5.76,5.11,7.79,11.69,5.74,4.93,5.74,11.98,6.93,6.27,7.36,11.44,6.97,4.43
7.49,9.32,5.55,5.34,6.44,7.2,12.59,5.55,8.65,5.62,8.95,6.49,7.57,0.0,11.18,14.19,5.35,10.19,14.28,11.21,8.24,10.93,13.34,12.71,9.22,7.86,11.11,5.7,10.62,8.75,11.63,12.4,11.41,10.18,10.27,9.83,8.08,11.38,12.28,10.22,14.1,8.17,7.14,7.17,11.04,8.37,8.7,8.8,18.61,9.4,10.05
10.02,13.16,7.56,7.35,8.45,9.72,14.43,5.53,12.49,6.79,13.82,1.37,10.09,11.18,0.0,12.09,7.17,9.35,2.63,18.72,6.44,10.08,13.48,16.75,8.38,4.33,8.53,6.33,8.04,5.64,11.24,4.55,3.83,13.82,1.2,8.98,6.83,11.16,10.18,2.47,3.08,5.1,5.47,5.37,1.51,5.79,3.85,2.62,16.51,5.76,9.83
6.94,5.43,10.99,10.78,11.88,6.64,6.69,8.74,4.76,11.06,6.09,11.07,7.02,14.19,12.09,0.0,5.88,6.36,7.67,17.11,5.15,7.1,10.25,18.61,5.39,4.77,8.02,5.04,7.53,5.66,8.25,5.8,4.81,10.83,6.83,6.0,4.25,8.17,7.19,5.17,7.5,2.72,4.05,4.08,7.79,5.28,3.25,4.63,13.52,3.95,6.84
7.45,9.28,2.74,2.53,2.62,7.16,12.57,5.53,8.61,4.6,8.92,6.15,7.53,5.35,7.17,5.88,0.0,6.64,10.73,13.2,2.63,7.37,8.59,14.69,5.67,3.89,6.36,1.73,5.87,4.0,8.08,8.86,7.87,12.37,6.3,6.27,4.52,7.83,8.73,6.67,10.56,4.63,3.17,2.21,7.07,3.62,5.15,4.83,15.06,5.86,6.5
2.87,6.26,6.99,6.78,7.87,2.57,7.82,6.0,5.59,7.06,5.89,8.33,2.94,10.19,9.35,6.36,6.64,0.0,11.05,17.97,6.0,2.87,11.09,19.46,2.43,5.61,8.86,5.89,8.37,6.5,5.19,9.18,8.19,8.37,8.38,1.77,2.53,4.94,4.3,6.97,10.88,4.93,4.12,4.93,11.17,6.12,5.45,6.55,10.63,6.16,3.61
11.78,13.1,11.08,10.87,11.97,11.49,14.36,6.52,12.43,11.15,13.76,3.38,11.86,14.28,2.63,7.67,10.73,11.05,0.0,16.5,9.71,11.65,12.31,15.58,9.94,5.51,12.58,9.6,12.09,6.83,12.4,3.38,4.38,14.97,2.48,10.55,8.79,12.31,11.34,3.15,1.92,7.27,8.61,8.64,1.5,9.84,5.43,3.81,17.67,7.79,10.98
18.7,20.53,14.55,14.34,12.22,18.41,18.36,16.77,19.86,9.99,18.82,17.7,18.78,11.21,18.72,17.11,13.2,17.97,16.5,0.0,16.19,18.87,7.76,5.34,17.16,15.8,9.12,13.94,9.28,11.49,19.58,18.77,19.36,18.14,18.74,17.77,16.02,19.33,20.22,18.16,16.17,16.12,15.08,15.12,17.77,12.08,16.64,16.74,26.55,17.35,18.0
