0.0,3.83,8.66,9.07,4.17,6.44,5.54,9.19,3.53,5.48,10.09,6.78,7.94,9.04,9.07,7.14,7.14,6.4
3.83,0.0,6.59,7.0,2.1,4.37,3.47,7.12,1.18,3.41,8.02,4.71,5.87,6.97,7.0,5.07,5.07,4.33
8.66,6.59,0.0,1.24,4.87,3.78,4.6,4.39,5.17,4.55,4.36,1.97,3.13,3.08,4.27,1.92,6.01,5.46
9.07,7.0,1.24,0.0,5.02,3.93,4.75,4.06,5.32,4.7,4.04,2.12,3.28,2.75,4.16,2.07,6.16,5.61
4.17,2.1,4.87,5.02,0.0,2.87,1.97,5.63,1.2,1.92,6.53,3.22,4.38,5.48,5.51,3.58,3.57,2.84
6.44,4.37,3.78,3.93,2.87,0.0,1.85,3.12,3.92,2.53,4.01,2.04,1.78,2.96,2.32,2.63,4.82,3.62
5.54,3.47,4.6,4.75,1.97,1.85,0.0,4.63,3.02,1.64,5.52,2.94,3.37,4.47,4.51,3.3,3.92,2.21
9.19,7.12,4.39,4.06,5.63,3.12,4.63,0.0,6.87,6.24,2.04,2.92,2.33,1.95,1.65,3.51,7.71,7.16
3.53,1.18,5.17,5.32,1.2,3.92,3.02,6.87,0.0,2.88,7.48,4.18,5.34,6.43,6.47,4.54,4.53,3.8
5.48,3.41,4.55,4.7,1.92,2.53,1.64,6.24,2.88,0.0,4.6,1.3,2.46,3.55,3.59,1.66,5.85,5.31
10.09,8.02,4.36,4.04,6.53,4.01,5.52,2.04,7.48,4.6,0.0,3.49,2.9,1.25,3.33,4.08,8.28,7.73
6.78,4.71,1.97,2.12,3.22,2.04,2.94,2.92,4.18,1.3,3.49,0.0,1.16,2.26,2.29,1.12,5.32,4.77
7.94,5.87,3.13,3.28,4.38,1.78,3.37,2.33,5.34,2.46,2.9,1.16,0.0,2.24,1.27,2.06,6.26,5.71
9.04,6.97,3.08,2.75,5.48,2.96,4.47,1.95,6.43,3.55,1.25,2.26,2.24,0.0,2.32,3.08,7.28,6.73
9.07,7.0,4.27,4.16,5.51,2.32,4.51,1.65,6.47,3.59,3.33,2.29,1.27,2.32,0.0,3.25,7.45,5.8
7.14,5.07,1.92,2.07,3.58,2.63,3.3,3.51,4.54,1.66,4.08,1.12,2.06,3.08,3.25,0.0,5.06,4.51
7.14,5.07,6.01,6.16,3.57,4.82,3.92,7.71,4.53,5.85,8.28,5.32,6.26,7.28,7.45,5.06,0.0,3.83
6.4,4.33,5.46,5.61,2.84,3.62,2.21,7.16,3.8,5.31,7.73,4.77,5.71,6.73,5.8,4.51,3.83,0.0
